Erfüllungsgrad;Anzahl
0,0;0
0,5;0
1,0;0
1,5;0
2,0;0
2,5;0
3,0;0
3,5;0
4,0;0
4,5;0
5,0;0
5,5;0
6,0;0
6,5;0
7,0;0
7,5;0
8,0;0
8,5;0
9,0;0
9,5;0
10,0;0
10,5;0
11,0;0
11,5;0
12,0;0
12,5;0
13,0;0
13,5;0
14,0;0
14,5;0
15,0;0
15,5;0
16,0;0
16,5;0
17,0;0
17,5;0
18,0;0
18,5;0
19,0;0
19,5;0
20,0;0
20,5;0
21,0;0
21,5;0
22,0;0
22,5;0
23,0;0
23,5;0
24,0;0
24,5;0
25,0;0
25,5;0
26,0;0
26,5;0
27,0;0
27,5;0
28,0;0
28,5;0
29,0;0
29,5;0
30,0;0
30,5;0
31,0;0
31,5;0
32,0;0
32,5;0
33,0;0
33,5;0
34,0;0
34,5;0
35,0;0
35,5;0
36,0;0
36,5;0
37,0;0
37,5;0
38,0;0
38,5;0
39,0;0
39,5;0
40,0;0
40,5;0
41,0;0
41,5;0
42,0;0
42,5;0
43,0;0
43,5;0
44,0;0
44,5;0
45,0;0
45,5;0
46,0;0
46,5;0
47,0;0
47,5;0
48,0;0
48,5;0
49,0;0
49,5;0
50,0;0
50,5;0
51,0;0
51,5;0
52,0;0
52,5;0
53,0;0
53,5;0
54,0;0
54,5;0
55,0;0
55,5;0
56,0;3
56,5;3
57,0;0
57,5;11
58,0;18
58,5;41
59,0;73
59,5;124
60,0;209
60,5;354
61,0;562
61,5;764
62,0;1170
62,5;1581
63,0;2124
63,5;2774
64,0;3530
64,5;4257
65,0;4988
65,5;5620
66,0;6139
66,5;6634
67,0;6719
67,5;6853
68,0;6696
68,5;6372
69,0;5862
69,5;5327
70,0;4588
70,5;3794
71,0;3183
71,5;2555
72,0;1999
72,5;1488
73,0;1090
73,5;826
74,0;557
74,5;391
75,0;261
75,5;164
76,0;119
76,5;69
77,0;47
77,5;21
78,0;12
78,5;12
79,0;10
79,5;3
80,0;2
80,5;1
81,0;0
81,5;0
82,0;0
82,5;0
83,0;0
83,5;0
84,0;0
84,5;0
85,0;0
85,5;0
86,0;0
86,5;0
87,0;0
87,5;0
88,0;0
88,5;0
89,0;0
89,5;0
90,0;0
90,5;0
91,0;0
91,5;0
92,0;0
92,5;0
93,0;0
93,5;0
94,0;0
94,5;0
95,0;0
95,5;0
96,0;0
96,5;0
97,0;0
97,5;0
98,0;0
98,5;0
99,0;0
99,5;0
100,0;0
